City,Delegacion_Municipio,Population
Ciudad de México,AZCAPOTZALCO,414711
Ciudad de México,COYOACAN,628063
Ciudad de México,CUAJIMALPA DE MORELOS,199224
Ciudad de México,GUSTAVO A. MADERO,1185772
Ciudad de México,IZTACALCO,384326
Ciudad de México,IZTAPALAPA,1815786
Ciudad de México,LA MAGDALENA CONTRERAS,239086
Ciudad de México,MILPA ALTA,137927
Ciudad de México,ALVARO OBREGON,726664
Ciudad de México,TLAHUAC,305076
Ciudad de México,TLALPAN,574577
Ciudad de México,XOCHIMILCO,407885
Ciudad de México,BENITO JUAREZ,385439
Ciudad de México,CUAUHTEMOC,531831
Ciudad de México,MIGUEL HIDALGO,372889
Ciudad de México,VENUSTIANO CARRANZA,430978
